fid,Title,Path,PHOTO_ID,POI_ID,ACTION,MR_PHOTOID,POI_NAME,CATEGORY,SUB_CAT,LANDLINE,MOBILE,MOBILE_1,TOLL_FREE,POI_EMAIL,WEBSITE,SERVICE_TY,IS_EXIST,RE-OPEN DA,DAYS_OF_WO,PARENT_CHI,PARENT_ID,POINT_ADDR,STREET_ROA,SECON_SREE,LOCALITY,SUB_LOCALI,LANDMARK,CITY,POSTCODE,BUILD_LATE,BUILD_LONE,1ST_OPEN,1ST_CLOSE,2ND_OPEN,2ND_CLOSE,FRAME_1,FRAME_2,FRAME_3,REMARKS,COLLECT_ON,COLLECT_DT,PRO_RESOUR,PROD_DATE,TYPE_COLL,A_CATEGORY,A_SUB_CAT,QC_RESOURC,QIL_DMK,FISH_EYE,TRANSLATION_POI,DISPLAY_POI,BRAND_POI,FLOOR_INFO,DISPLAY_LATLON
10597,DCIM\111GOPRO\G0196478.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236281.JPG,IDN_00000236281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10598,DCIM\111GOPRO\G0196479.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236282.JPG,IDN_00000236282,,,,INDOMARET,CONVENIENCE STORE,SUPER MARKET,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.303481796,106.8267983,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30346725, 106.82685001"
10599,DCIM\111GOPRO\G0196480.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236283.JPG,IDN_00000236283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10600,DCIM\111GOPRO\G0196481.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236284.JPG,IDN_00000236284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10601,DCIM\111GOPRO\G0196482.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236285.JPG,IDN_00000236285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10602,DCIM\111GOPRO\G0196483.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236286.JPG,IDN_00000236286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10603,DCIM\111GOPRO\G0196484.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236287.JPG,IDN_00000236287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10604,DCIM\111GOPRO\G0196485.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236288.JPG,IDN_00000236288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10605,DCIM\111GOPRO\G0196486.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236289.JPG,IDN_00000236289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10606,DCIM\111GOPRO\G0196487.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236290.JPG,IDN_00000236290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10607,DCIM\111GOPRO\G0196488.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236291.JPG,IDN_00000236291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10608,DCIM\111GOPRO\G0196489.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236292.JPG,IDN_00000236292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10609,DCIM\111GOPRO\G0196490.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236293.JPG,IDN_00000236293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10610,DCIM\111GOPRO\G0196491.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236294.JPG,IDN_00000236294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10611,DCIM\111GOPRO\G0196492.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236295.JPG,IDN_00000236295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10612,DCIM\111GOPRO\G0196493.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236296.JPG,IDN_00000236296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10613,DCIM\111GOPRO\G0196494.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236297.JPG,IDN_00000236297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10614,DCIM\111GOPRO\G0196495.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236298.JPG,IDN_00000236298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10615,DCIM\111GOPRO\G0196496.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236299.JPG,IDN_00000236299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10616,DCIM\111GOPRO\G0196497.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236300.JPG,IDN_00000236300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10617,DCIM\111GOPRO\G0196498.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236301.JPG,IDN_00000236301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10618,DCIM\111GOPRO\G0196499.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236302.JPG,IDN_00000236302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10619,DCIM\111GOPRO\G0196500.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236303.JPG,IDN_00000236303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10620,DCIM\111GOPRO\G0196501.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236304.JPG,IDN_00000236304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10621,DCIM\111GOPRO\G0196502.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236305.JPG,IDN_00000236305,,,,BUS STOP-JL ANGGREK ,PUBLIC STOP,BUS STOP,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.302986286,106.8266016,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,
10622,DCIM\111GOPRO\G0196503.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236306.JPG,IDN_00000236306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10623,DCIM\111GOPRO\G0196504.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236307.JPG,IDN_00000236307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10624,DCIM\111GOPRO\G0196505.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236308.JPG,IDN_00000236308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10625,DCIM\111GOPRO\G0196506.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236309.JPG,IDN_00000236309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10626,DCIM\111GOPRO\G0196507.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236310.JPG,IDN_00000236310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10627,DCIM\111GOPRO\G0196508.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236311.JPG,IDN_00000236311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10628,DCIM\111GOPRO\G0196509.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236312.JPG,IDN_00000236312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10629,DCIM\111GOPRO\G0196510.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236313.JPG,IDN_00000236313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10630,DCIM\111GOPRO\G0196511.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236314.JPG,IDN_00000236314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10631,DCIM\111GOPRO\G0196512.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236315.JPG,IDN_00000236315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10632,DCIM\111GOPRO\G0196513.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236316.JPG,IDN_00000236316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10633,DCIM\111GOPRO\G0196514.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236317.JPG,IDN_00000236317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10634,DCIM\111GOPRO\G0196515.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236318.JPG,IDN_00000236318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10635,DCIM\111GOPRO\G0196516.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236319.JPG,IDN_00000236319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10636,DCIM\111GOPRO\G0196517.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236320.JPG,IDN_00000236320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10637,DCIM\111GOPRO\G0196518.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236321.JPG,IDN_00000236321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10638,DCIM\111GOPRO\G0196519.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236322.JPG,IDN_00000236322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10639,DCIM\111GOPRO\G0196520.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236323.JPG,IDN_00000236323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10640,DCIM\111GOPRO\G0196521.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236324.JPG,IDN_00000236324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10641,DCIM\111GOPRO\G0196522.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236325.JPG,IDN_00000236325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10642,DCIM\111GOPRO\G0196523.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236326.JPG,IDN_00000236326,,,,APOTEK PRIYANTI,PHARMACY,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.302329793,106.8264719,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30231734, 106.82653117"
10643,DCIM\111GOPRO\G0196524.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236327.JPG,IDN_00000236327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10644,DCIM\111GOPRO\G0196525.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236328.JPG,IDN_00000236328,,,,ALADIN BANK SYARIAH MASA DEPAN ,ATM,Other,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.302262427,106.8264412,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30224318, 106.82651294"
10645,DCIM\111GOPRO\G0196526.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236329.JPG,IDN_00000236329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10646,DCIM\111GOPRO\G0196527.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236330.JPG,IDN_00000236330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10647,DCIM\111GOPRO\G0196528.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236331.JPG,IDN_00000236331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10648,DCIM\111GOPRO\G0196529.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236332.JPG,IDN_00000236332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10649,DCIM\111GOPRO\G0196530.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236333.JPG,IDN_00000236333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10650,DCIM\111GOPRO\G0196531.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236334.JPG,IDN_00000236334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10651,DCIM\111GOPRO\G0196532.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236335.JPG,IDN_00000236335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10652,DCIM\111GOPRO\G0196533.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236336.JPG,IDN_00000236336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10653,DCIM\111GOPRO\G0196534.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236337.JPG,IDN_00000236337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10654,DCIM\111GOPRO\G0196535.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236338.JPG,IDN_00000236338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10655,DCIM\111GOPRO\G0196536.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236339.JPG,IDN_00000236339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10656,DCIM\111GOPRO\G0196537.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236340.JPG,IDN_00000236340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10657,DCIM\111GOPRO\G0196538.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236341.JPG,IDN_00000236341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10658,DCIM\111GOPRO\G0196539.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236342.JPG,IDN_00000236342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10659,DCIM\111GOPRO\G0196540.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236343.JPG,IDN_00000236343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10660,DCIM\111GOPRO\G0196541.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236344.JPG,IDN_00000236344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10661,DCIM\111GOPRO\G0196542.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236345.JPG,IDN_00000236345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10662,DCIM\111GOPRO\G0196543.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236346.JPG,IDN_00000236346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10663,DCIM\111GOPRO\G0196544.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236347.JPG,IDN_00000236347,,,,WARNAS PAK NO,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.30170708,106.8263016,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30170708, 106.82632390"
10664,DCIM\111GOPRO\G0196545.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236348.JPG,IDN_00000236348,,,,WARUNG SEMBAKO AMEI,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.301641412,106.8262925,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30164088, 106.82632618"
10665,DCIM\111GOPRO\G0196546.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236349.JPG,IDN_00000236349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10666,DCIM\111GOPRO\G0196547.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236350.JPG,IDN_00000236350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10667,DCIM\111GOPRO\G0196548.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236351.JPG,IDN_00000236351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10668,DCIM\111GOPRO\G0196549.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236352.JPG,IDN_00000236352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10669,DCIM\111GOPRO\G0196550.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236353.JPG,IDN_00000236353,,,,WARTEG RAOS ECO,SPECIALTY/BRANDED STORE,FOOD/BEVERAGE,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.301463655,106.826276,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30146762, 106.82631360"
10670,DCIM\111GOPRO\G0196551.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236354.JPG,IDN_00000236354,,,,BRO KITCHEN ,RESTAURANT,OTHER,,,,,,,,OPEN,,,PARENT,,,,,,,,JAKARTA,,-6.301412706,106.8262823,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,NO,,YES,,GROUND FLOOR,"-6.30141157, 106.82632898"
10671,DCIM\111GOPRO\G0196552.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236355.JPG,IDN_00000236355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
10672,DCIM\111GOPRO\G0196553.JPG,//10.10.2.18/Bindu_Production/Indonesia/Farhan/25.03.2024/RIGHT\111GOPRO\IDN_00000236356.JPG,IDN_00000236356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-03-2024,DT-01736,DEEPAK,20-04-2024,,,,,,,,,,,
